[DEBUG] 2020-09-01 22:07:24.169 [main] org.jboss.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider | 1061 ms 
[DEBUG] 2020-09-01 22:07:24.178 [main] org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator]. | 1070 ms 
[DEBUG] 2020-09-01 22:07:24.180 [main] org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator]. | 1072 ms 
[DEBUG] 2020-09-01 22:07:24.185 [main] org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator]. | 1077 ms 
[INFO ] 2020-09-01 22:07:24.214 [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.20.Final | 1106 ms 
[DEBUG] 2020-09-01 22:07:24.217 [main] org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found | 1109 ms 
[DEBUG] 2020-09-01 22:07:24.374 [main] org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd] | 1266 ms 
[DEBUG] 2020-09-01 22:07:24.377 [main] org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/ | 1269 ms 
[DEBUG] 2020-09-01 22:07:24.386 [main] org.hibernate.boot.cfgxml.internal.JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information | 1278 ms 
[DEBUG] 2020-09-01 22:07:24.628 [main] org.hibernate.cfg.Configuration - Building session factory using internal StandardServiceRegistryBuilder | 1520 ms 
[DEBUG] 2020-09-01 22:07:24.633 [main] org.hibernate.service.spi.ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService] | 1525 ms 
[DEBUG] 2020-09-01 22:07:24.633 [main] org.hibernate.cfg.Configuration - Building session factory using provided StandardServiceRegistry | 1525 ms 
[DEBUG] 2020-09-01 22:07:24.643 [main] org.hibernate.cache.internal.RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered | 1535 ms 
[DEBUG] 2020-09-01 22:07:24.643 [main] org.hibernate.cache.internal.RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory | 1535 ms 
[INFO ] 2020-09-01 22:07:24.658 [main] org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final} | 1550 ms 
